simulation_id,num_timepoints,time_min,time_max,simulation_time,success
1,3148,0,0.3,55.48623,1
2,3148,0,0.3,23.5499297,1
3,3148,0,0.3,27.0684035,1
4,3148,0,0.3,21.6708393,1
5,3148,0,0.3,25.3911554,1
6,3148,0,0.3,20.351107,1
7,3148,0,0.3,28.1259785,1
8,3148,0,0.3,31.3060829,1
9,3148,0,0.3,27.2284809,1
10,3148,0,0.3,25.907203,1
11,3148,0,0.3,42.4356977,1
12,3148,0,0.3,16.9183517,1
13,3148,0,0.3,14.5496742,1
14,3148,0,0.3,14.0325359,1
15,3148,0,0.3,14.9770455,1
