simulation_id,num_timepoints,time_min,time_max,simulation_time,success
1,3148,0,0.3,141.4179751,1
2,3148,0,0.3,143.1507601,1
3,3148,0,0.3,141.9504531,1
4,3148,0,0.3,143.2978619,1
5,3148,0,0.3,144.5760368,1
6,3148,0,0.3,145.0509977,1
7,3148,0,0.3,30.5346527,1
8,3148,0,0.3,29.4527069,1
9,3148,0,0.3,29.3951293,1
10,3148,0,0.3,29.1752288,1
